palabra,rt,palabra_noaccents
amainar,559.77,amainar
amalgamar,605.01,amalgamar
amamantar,598.79,amamantar
amanecer,453.79,amanecer
amansar,547.01,amansar
amañar,493.17,amanar
amar,456.28,amar
amargar,498.36,amargar
amargarse,532.5,amargarse
amarillear,550.96,amarillear
amarrar,513.51,amarrar
amarse,513.46,amarse
amasar,510.65,amasar
ambicionar,547.92,ambicionar
ambientar,513.16,ambientar
amedrentar,646.83,amedrentar
amenazar,509.23,amenazar
amenizar,525.03,amenizar
ametrallar,558.12,ametrallar
amigar,477.53,amigar
amilanar,576.23,amilanar
aminorar,536.71,aminorar
amolar,468.63,amolar
amoldar,519.96,amoldar
amoldarse,506.13,amoldarse
amonestar,559.07,amonestar
amontonar,525.78,amontonar
amordazar,569.42,amordazar
amortajar,568.7,amortajar
amortiguar,526.16,amortiguar
amortizar,509.08,amortizar
amotinar,559.45,amotinar
amparar,557.19,amparar
ampararse,540.37,ampararse
ampliar,527.48,ampliar
ampliarse,514.51,ampliarse
amplificar,484.25,amplificar
ampollar,493.08,ampollar
amputar,493.87,amputar
amueblar,527.27,amueblar
amurallar,553.15,amurallar
analizar,505.69,analizar
analizarse,505.41,analizarse
anatematizar,612.25,anatematizar
anclar,518.87,anclar
anclarse,508.04,anclarse
andar,497.67,andar
andarse,474.07,andarse
anegar,516.44,anegar
anestesiar,535.41,anestesiar
anexar,519.96,anexar
anexionar,552.31,anexionar
anexionarse,535.65,anexionarse
angostar,521.14,angostar
angustiar,513.55,angustiar
anhelar,572.51,anhelar
anidar,542.47,anidar
anillar,478.33,anillar
animalizar,529.72,animalizar
animar,496.59,animar
animarse,529.29,animarse
aniquilar,506.81,aniquilar
anochecer,552.29,anochecer
anonadar,560.28,anonadar
anotar,496.2,anotar
anotarse,509.84,anotarse
ansiar,471.85,ansiar
anteceder,568.32,anteceder
anteponer,516.1,anteponer
anticipar,493.47,anticipar
anticiparse,546.58,anticiparse
anudar,506.8,anudar
anular,468.96,anular
anunciar,494.92,anunciar
anunciarse,502.4,anunciarse
añadir,476.91,anadir
añadirse,500.84,anadirse
añorar,499.09,anorar
apabullar,512.02,apabullar
apacentar,613.86,apacentar
apaciguar,534.49,apaciguar
apadrinar,503.18,apadrinar
apagar,485.87,apagar
apalabrar,513.89,apalabrar
apalancar,487.9,apalancar
apalear,516.44,apalear
apandar,540.25,apandar
apañar,494.27,apanar
aparcar,466.51,aparcar
aparear,508.64,aparear
aparecer,472.49,aparecer
aparejar,539.84,aparejar
aparentar,516.58,aparentar
apartar,497.57,apartar
apartarse,511.4,apartarse
apasionar,495.52,apasionar
apear,486.91,apear
apearse,568.05,apearse
apechugar,529.36,apechugar
apedrear,551.62,apedrear
apegarse,525.74,apegarse
apelar,510.68,apelar
apellidar,510.45,apellidar
apelotonarse,642.51,apelotonarse
apenar,487.96,apenar
apercibir,547.95,apercibir
apesadumbrar,668.08,apesadumbrar
apestar,514.4,apestar
apetecer,516.82,apetecer
apiadar,559.84,apiadar
apilar,482.14,apilar
apiñar,482.56,apinar
apisonar,542.96,apisonar
aplacar,510.38,aplacar
aplanar,504.61,aplanar
aplastar,485.85,aplastar
aplaudir,523.27,aplaudir
aplazar,460.21,aplazar
aplicar,480.41,aplicar
aplicarse,482.64,aplicarse
apocopar,570.1,apocopar
apodar,503.8,apodar
apoderar,543.18,apoderar
apoderarse,535.85,apoderarse
apoltronarse,575.95,apoltronarse
apoquinar,542.87,apoquinar
aporrear,501.72,aporrear
aportar,483.84,aportar
aposentar,532.12,aposentar
aposentarse,596.49,aposentarse
apostar,497.43,apostar
apostatar,504.61,apostatar
apostillar,550.63,apostillar
apoyar,474.06,apoyar
apoyarse,531.04,apoyarse
apreciar,480.79,apreciar
aprehender,595.08,aprehender
apremiar,530.52,apremiar
aprender,465.56,aprender
aprenderse,485.35,aprenderse
apresar,514.53,apresar
aprestarse,533.88,aprestarse
apresurar,524.49,apresurar
apretar,521.66,apretar
apretarse,539.64,apretarse
aprisionar,559.95,aprisionar
aprobar,465.63,aprobar
aprobarse,515.82,aprobarse
apropiar,515.95,apropiar
apropiarse,511.78,apropiarse
aprovechar,480.74,aprovechar
aprovecharse,498.9,aprovecharse
aprovisionar,532.02,aprovisionar
aproximar,496.55,aproximar
aproximarse,489.19,aproximarse
apuntalar,487.89,apuntalar
apuntar,454.83,apuntar
apuntarse,507.11,apuntarse
apuñalar,496.81,apunalar
apurar,491.3,apurar
aquejar,511.09,aquejar
aquietar,531.35,aquietar
arañar,483.32,aranar
arañarse,519.58,aranarse
arar,520.7,arar
arbitrar,491.04,arbitrar
archivar,517.44,archivar
arder,511.72,arder
arengar,545.67,arengar
argüir,562.48,arguir
argumentar,514.63,argumentar
argumentarse,544.39,argumentarse
armar,474.6,armar
armarse,537.64,armarse
armonizar,547.62,armonizar
arponear,552.74,arponear
arquear,493.65,arquear
arraigar,507.72,arraigar
arramblar,526.88,arramblar
arrancar,519.77,arrancar
arrasar,495.64,arrasar
arrastrar,484.72,arrastrar
arrastrarse,524.1,arrastrarse
arrear,508.05,arrear
arrebatar,525.21,arrebatar
arreciar,530.4,arreciar
arreglar,502.08,arreglar
arreglarse,542.88,arreglarse
arremeter,509.3,arremeter
arremolinarse,593.64,arremolinarse
arrendar,526.26,arrendar
arrepentirse,517.09,arrepentirse
arrestar,474.77,arrestar
arribar,468.07,arribar
arriesgar,472.0,arriesgar
arriesgarse,530.0,arriesgarse
arrimar,510.6,arrimar
arrinconar,547.08,arrinconar
arrobar,521.14,arrobar
arrodillar,493.92,arrodillar
arrodillarse,507.18,arrodillarse
arrojar,498.79,arrojar
arrojarse,489.36,arrojarse
arrollar,506.52,arrollar
arropar,521.84,arropar
arrostrar,515.24,arrostrar
arrugar,513.49,arrugar
arruinar,496.89,arruinar
arruinarse,525.57,arruinarse
arrullar,490.45,arrullar
arrumbar,498.25,arrumbar
articular,532.99,articular
articularse,532.51,articularse
asaetear,623.93,asaetear
asalariar,595.14,asalariar
asaltar,493.19,asaltar
asar,472.87,asar
ascender,519.24,ascender
asear,528.69,asear
asearse,528.65,asearse
asediar,507.88,asediar
asegurar,496.4,asegurar
asegurarse,527.72,asegurarse
asemejar,519.04,asemejar
asentar,483.54,asentar
asentir,449.96,asentir
aserrar,499.53,aserrar
asesinar,500.7,asesinar
asesorar,530.84,asesorar
asesorarse,543.01,asesorarse
asestar,498.96,asestar
aseverar,536.82,aseverar
asfaltar,560.72,asfaltar
asfixiar,540.64,asfixiar
asfixiarse,539.6,asfixiarse
asignar,464.09,asignar
asimilar,502.44,asimilar
asir,509.25,asir
asistir,464.39,asistir
asociar,507.85,asociar
asociarse,567.36,asociarse
asolar,523.23,asolar
asolear,543.97,asolear
asomar,475.49,asomar
asomarse,549.11,asomarse
asombrar,525.21,asombrar
aspar,477.05,aspar
aspirar,489.15,aspirar
asquear,506.6,asquear
astillar,524.37,astillar
asumir,497.32,asumir
asumirse,501.16,asumirse
asustar,515.47,asustar
asustarse,504.82,asustarse
atacar,493.48,atacar
atajar,502.91,atajar
atar,495.97,atar
atardecer,508.36,atardecer
atarse,516.43,atarse
atemorizar,565.86,atemorizar
atemperar,678.7,atemperar
atenazar,545.28,atenazar
atender,486.75,atender
atener,496.98,atener
atenerse,496.68,atenerse
atentar,495.32,atentar
atenuar,492.34,atenuar
aterrar,498.82,aterrar
aterrizar,525.27,aterrizar
aterrorizar,511.55,aterrorizar
atesorar,515.39,atesorar
atestiguar,561.36,atestiguar
atiborrar,550.59,atiborrar
atinar,500.23,atinar
atisbar,526.12,atisbar
atizar,513.24,atizar
atontar,501.41,atontar
atorar,510.35,atorar
atormentar,559.95,atormentar
atornillar,508.56,atornillar
atosigar,536.09,atosigar
atracar,495.0,atracar
atraer,545.99,atraer
atragantar,551.84,atragantar
atrancar,523.87,atrancar
atrapar,494.15,atrapar
atrasar,494.81,atrasar
atravesar,498.06,atravesar
atrever,473.24,atrever
atreverse,530.39,atreverse
atribuir,511.53,atribuir
atrincherar,565.65,atrincherar
atropar,533.6,atropar
atropellar,516.52,atropellar
aturdir,530.69,aturdir
aturullar,498.14,aturullar
atusarse,588.95,atusarse
auditar,500.46,auditar
augurar,591.29,augurar
aullar,504.51,aullar
aumentar,480.43,aumentar
aunar,501.09,aunar
aupar,505.24,aupar
auparse,558.41,auparse
auscultar,600.46,auscultar
ausentar,504.91,ausentar
ausentarse,510.06,ausentarse
auspiciar,642.07,auspiciar
autentificar,556.96,autentificar
autocriticar,568.86,autocriticar
autocriticarse,598.89,autocriticarse
autodefenderse,623.68,autodefenderse
autodefinir,526.35,autodefinir
autodefinirse,556.02,autodefinirse
autorizar,482.09,autorizar
autosugestionarse,605.03,autosugestionarse
auxiliar,468.7,auxiliar
avalar,477.88,avalar
avanzar,478.49,avanzar
avasallar,512.78,avasallar
aventajar,538.85,aventajar
aventar,517.75,aventar
aventurar,491.59,aventurar
aventurarse,501.72,aventurarse
avergonzar,503.05,avergonzar
averiar,485.3,averiar
averiguar,509.91,averiguar
avisar,490.0,avisar
avistar,522.44,avistar
avivar,523.91,avivar
ayudar,488.3,ayudar
ayudarse,495.28,ayudarse
ayunar,474.87,ayunar
azotar,487.02,azotar
azucarar,516.61,azucarar
babear,489.88,babear
babosear,551.95,babosear
bailar,474.27,bailar
bajar,508.8,bajar
bajarse,476.55,bajarse
balancear,522.01,balancear
balancearse,550.49,balancearse
balar,514.84,balar
balbucear,547.78,balbucear
balbucir,577.97,balbucir
bambolear,535.72,bambolear
bandear,515.26,bandear
bañar,499.56,banar
bañarse,517.69,banarse
barajar,472.62,barajar
barnizar,539.5,barnizar
barrer,467.6,barrer
barritar,496.63,barritar
barruntar,591.11,barruntar
basar,500.84,basar
basarse,546.74,basarse
bascular,568.16,bascular
bastar,510.16,bastar
batallar,540.43,batallar
batear,522.69,batear
batir,492.95,batir
bautizar,514.62,bautizar
bautizarse,529.43,bautizarse
beatificar,542.04,beatificar
beber,479.26,beber
beberse,532.74,beberse
becar,514.9,becar
bendecir,499.47,bendecir
beneficiar,540.18,beneficiar
beneficiarse,545.54,beneficiarse
berrear,514.52,berrear
besar,516.56,besar
besarse,532.57,besarse
besuquear,634.59,besuquear
birlar,543.73,birlar
bisbisear,567.93,bisbisear
biselar,537.91,biselar
bizquear,546.09,bizquear
blandir,532.52,blandir
blanquear,542.25,blanquear
blanquecer,533.13,blanquecer
blasfemar,568.44,blasfemar
blasonar,582.26,blasonar
blocar,523.48,blocar
bloquear,509.21,bloquear
bogar,511.74,bogar
boicotear,531.82,boicotear
bombardear,553.05,bombardear
bombear,503.37,bombear
boquear,506.21,boquear
bordar,506.8,bordar
bordear,512.02,bordear
borrar,473.0,borrar
borrarse,496.04,borrarse
bosquejar,583.25,bosquejar
bostezar,512.83,bostezar
botar,510.62,botar
boxear,535.59,boxear
bracear,521.0,bracear
bramar,517.93,bramar
bregar,542.06,bregar
brillar,518.97,brillar
brincar,487.04,brincar
brindar,522.93,brindar
bromear,523.04,bromear
broncear,514.96,broncear
brotar,512.57,brotar
bruñir,519.53,brunir
brutalizarse,604.51,brutalizarse
bucear,524.17,bucear
bufar,517.23,bufar
bufonearse,583.44,bufonearse
bullir,511.65,bullir
burbujear,552.38,burbujear
burlar,481.93,burlar
burlarse,538.1,burlarse
buscar,455.74,buscar
buscarse,505.22,buscarse
cabalgar,522.82,cabalgar
cabecear,547.18,cabecear
caber,491.47,caber
cablear,543.79,cablear
cabrear,523.24,cabrear
cabrearse,503.0,cabrearse
cacarear,532.91,cacarear
cachear,594.75,cachear
cachondearse,618.43,cachondearse
caducar,530.67,caducar
caer,508.65,caer
caerse,534.18,caerse
cagar,540.86,cagar
cagarse,519.69,cagarse
calafatear,574.96,calafatear
calar,505.76,calar
calcar,519.9,calcar
calcular,515.47,calcular
caldear,515.81,caldear
calentar,522.84,calentar
calentarse,542.36,calentarse
calibrar,532.01,calibrar
calificar,510.48,calificar
calificarse,516.21,calificarse
caligrafiar,542.39,caligrafiar
callar,494.63,callar
callarse,477.34,callarse
callejear,477.21,callejear
calmar,507.83,calmar
calumniar,565.82,calumniar
calzar,515.0,calzar
cambiar,491.69,cambiar
cambiarse,492.73,cambiarse
camelarse,564.21,camelarse
caminar,486.14,caminar
campanear,537.68,campanear
campanillear,591.36,campanillear
campar,497.76,campar
camuflar,512.68,camuflar
canalizar,507.27,canalizar
cancelar,471.75,cancelar
canjear,531.6,canjear
canonizar,555.59,canonizar
cansar,487.82,cansar
cansarse,518.93,cansarse
cantar,496.04,cantar
cantarse,524.98,cantarse
cantonearse,561.14,cantonearse
canturrear,542.98,canturrear
capacitar,511.79,capacitar
capar,475.42,capar
capear,497.85,capear
capitalizar,513.63,capitalizar
capitanear,538.13,capitanear
capitular,559.78,capitular
captar,495.03,captar
capturar,509.09,capturar
caracolear,629.1,caracolear
caracterizar,544.28,caracterizar
caracterizarse,567.77,caracterizarse
carbonizar,532.62,carbonizar
carcajear,581.56,carcajear
cardar,523.28,cardar
carecer,558.81,carecer
cargar,482.98,cargar
cargarse,555.72,cargarse
caricaturizar,587.57,caricaturizar
carraspear,573.9,carraspear
carretear,596.08,carretear
cartear,528.63,cartear
cartografiar,583.57,cartografiar
casar,494.57,casar
casarse,482.44,casarse
cascar,523.51,cascar
castigar,484.19,castigar
castrar,535.37,castrar
catalizar,495.5,catalizar
catalogar,545.64,catalogar
catalogarse,577.3,catalogarse
catapultar,574.34,catapultar
catar,514.24,catar
categorizar,543.13,categorizar
catequizar,524.04,catequizar
causar,529.39,causar
cauterizar,593.03,cauterizar
cautivar,573.24,cautivar
cavar,513.7,cavar
cavilar,524.97,cavilar
cazar,505.71,cazar
cebar,538.15,cebar
cecear,522.88,cecear
ceder,501.86,ceder
cegar,495.06,cegar
cejar,491.46,cejar
celar,504.42,celar
celarse,523.58,celarse
celebrar,482.55,celebrar
celebrarse,503.73,celebrarse
cementar,554.2,cementar
cenar,474.84,cenar
censar,478.83,censar
censurar,546.22,censurar
centellear,594.74,centellear
centralizar,545.02,centralizar
centrar,476.7,centrar
centrarse,453.08,centrarse
centrifugar,573.22,centrifugar
centuplicar,601.5,centuplicar
ceñir,475.73,cenir
ceñirse,514.72,cenirse
cepillar,503.78,cepillar
cepillarse,540.92,cepillarse
cercar,464.89,cercar
cercenar,520.74,cercenar
cerciorar,554.6,cerciorar
cerciorarse,600.01,cerciorarse
cerrar,477.4,cerrar
cerrarse,458.23,cerrarse
certificar,515.45,certificar
cesar,502.03,cesar
chamuscar,568.37,chamuscar
changar,503.99,changar
chantajear,544.91,chantajear
chapar,485.49,chapar
chapotear,527.46,chapotear
chapurrear,573.93,chapurrear
chaquetear,582.85,chaquetear
charlar,498.07,charlar
chasquear,534.18,chasquear
chatear,515.93,chatear
chequear,537.15,chequear
chillar,518.01,chillar
chinchar,512.16,chinchar
chirriar,533.08,chirriar
chismear,539.36,chismear
chismorrear,539.94,chismorrear
chispear,532.28,chispear
chistar,551.88,chistar
chivar,505.49,chivar
chivarse,527.09,chivarse
chocar,500.15,chocar
chochear,578.81,chochear
chorrear,539.45,chorrear
chupar,516.01,chupar
chutar,541.3,chutar
cicatrizar,572.51,cicatrizar
cifrar,518.3,cifrar
cimbrear,585.04,cimbrear
cimentar,526.93,cimentar
cincelar,580.8,cincelar
cinematografiar,599.52,cinematografiar
circular,508.8,circular
circuncidar,565.21,circuncidar
circundar,582.32,circundar
circunscribir,614.81,circunscribir
circunstanciar,601.94,circunstanciar
circunvalar,569.65,circunvalar
citar,450.67,citar
citarse,491.18,citarse
civilizar,537.33,civilizar
clamar,529.98,clamar
clarear,561.51,clarear
clarificar,517.66,clarificar
clasificar,515.17,clasificar
clasificarse,567.92,clasificarse
claudicar,619.95,claudicar
clausurar,566.51,clausurar
clavar,480.02,clavar
clavetear,550.69,clavetear
climatizar,545.98,climatizar
clonar,478.64,clonar
cloroformizar,720.0,cloroformizar
coaccionar,595.41,coaccionar
coadyuvar,596.47,coadyuvar
coagular,587.67,coagular
coartar,518.47,coartar
cobijar,536.26,cobijar
cobijarse,544.25,cobijarse
cobrar,520.82,cobrar
cobrarse,531.1,cobrarse
cocear,611.19,cocear
cocer,548.14,cocer
cocinar,484.42,cocinar
codear,524.42,codear
codiciar,556.02,codiciar
codificar,513.37,codificar
coexistir,553.79,coexistir
coger,486.23,coger
cogerse,510.16,cogerse
cohabitar,561.26,cohabitar
cohibir,558.82,cohibir
coincidir,517.67,coincidir
cojear,474.72,cojear
colaborar,566.09,colaborar
colapsar,541.35,colapsar
colar,473.49,colar
colarse,515.37,colarse
coleccionar,533.31,coleccionar
colectar,492.03,colectar
colectivizar,592.98,colectivizar
colegiarse,546.92,colegiarse
colerizar,500.77,colerizar
colgar,501.85,colgar
colindar,517.53,colindar
colisionar,549.29,colisionar
colmar,508.56,colmar
colocar,482.71,colocar
colocarse,520.74,colocarse
colonizar,528.89,colonizar
colorear,505.15,colorear
coludir,578.53,coludir
columpiar,555.32,columpiar
columpiarse,592.3,columpiarse
comandar,532.47,comandar
combatir,504.33,combatir
combatirse,529.02,combatirse
combinar,496.47,combinar
comentar,500.31,comentar
comenzar,501.28,comenzar
comer,473.8,comer
comercializar,547.6,comercializar
comerciar,515.21,comerciar
comerse,530.11,comerse
cometer,478.65,cometer
comisionar,581.93,comisionar
compactar,539.09,compactar
compadecer,562.18,compadecer
compaginar,528.12,compaginar
comparar,513.02,comparar
compararse,584.06,compararse
comparecer,547.0,comparecer
compartimentar,558.77,compartimentar
compartir,503.53,compartir
compatibilizar,542.39,compatibilizar
compeler,525.26,compeler
compelir,508.07,compelir
compendiar,577.07,compendiar
compenetrarse,597.89,compenetrarse
compensar,542.34,compensar
competer,533.99,competer
competir,471.24,competir
compilar,578.69,compilar
complacer,538.88,complacer
complementar,530.01,complementar
completar,555.79,completar
completarse,494.21,completarse
complicar,493.73,complicar
complicarse,499.16,complicarse
componer,488.4,componer
comportar,531.42,comportar
comportarse,530.0,comportarse
comprar,502.18,comprar
comprarse,556.66,comprarse
comprender,529.43,comprender
comprenderse,566.1,comprenderse
comprimir,537.28,comprimir
comprobar,514.91,comprobar
comprobarse,514.97,comprobarse
comprometer,527.3,comprometer
comprometerse,577.75,comprometerse
compulsar,537.83,compulsar
compungir,614.99,compungir
computar,510.33,computar
comulgar,502.7,comulgar
comunicar,509.85,comunicar
comunicarse,497.59,comunicarse
concatenar,569.53,concatenar
